H2O Chem Phys Special Issue vol 258, pp 121-137 (2000)
T=298K Case (b) g_HH(r)

 Bin no.        r             g(r)        std.
    365  10.89000     0.9985637     0.2361232E-01
    366  10.92000     0.9983819     0.2592148E-01
    367  10.95000     0.9982389     0.2794530E-01
    368  10.98000     0.9981332     0.2669407E-01
    369  11.01000     0.9975966     0.2547148E-01
    370  11.04000     0.9975675     0.2442749E-01
    371  11.07000     0.9974551     0.2274311E-01
    372  11.10000     0.9974009     0.2619141E-01
    373  11.13000     0.9975216     0.2397928E-01
    374  11.16000     0.9971365     0.2165570E-01
    375  11.19000     0.9974468     0.2753707E-01
    376  11.22000     0.9973755     0.1820772E-01
    377  11.25000     0.9969903     0.2138009E-01
    378  11.27999     0.9973756     0.2776234E-01
    379  11.30999     0.9972969     0.1737348E-01
    380  11.33999     0.9972960     0.2096911E-01
    381  11.36999     0.9970019     0.9427116E-02
    382  11.39999     0.9968261     0.1951140E-01
    383  11.42999     0.9972525     0.9997849E-02
    384  11.45999     0.9971684     0.1713165E-01
    385  11.48999     0.9972386     0.1151091E-01
    386  11.51999     0.9972612     0.1383655E-01
    387  11.54999     0.9971958     0.1545238E-01
    388  11.57999     0.9971841     0.1290024E-01
    389  11.60999     0.9974540     0.2677434E-01
    390  11.63999     0.9974378     0.2684548E-01
    391  11.66999     0.9973483     0.2331639E-01
    392  11.69999     0.9975424     0.2857071E-01
    393  11.72999     0.9975735     0.2886956E-01
    394  11.75999     0.9980527     0.2491431E-01
    395  11.78999     0.9979790     0.2743732E-01
    396  11.81999     0.9978877     0.3068703E-01
    397  11.84999     0.9985531     0.1710030E-01
    398  11.87999     0.9989564     0.0000000E+00
    399  11.90999     0.9984953     0.2046563E-01
    400  11.93999     0.9990633     0.2684881E-01
    401  11.96999     0.9990907     0.1740433E-01
    402  11.99999     0.9991314     0.2959846E-01
    403  12.02999     0.9991153     0.2791009E-01
    404  12.05999     0.9991366     0.2756411E-01
    405  12.08999     0.9993078     0.2857697E-01
    406  12.11999     0.9995726     0.2494300E-01
    407  12.14999     0.9994202     0.2862490E-01
    408  12.17999     0.9995728     0.2706770E-01
    409  12.20999     0.9997560     0.2521749E-01
    410  12.23999     0.9994474     0.2736445E-01
    411  12.26999      1.000029     0.1878455E-01
    412  12.29999      1.000114     0.3255045E-01
    413  12.32999      1.000020     0.2669742E-01
    414  12.35999      1.000011     0.2042627E-01
    415  12.38999      1.000159     0.3455776E-01
    416  12.41998      1.000298     0.3272942E-01
    417  12.44998      1.000633     0.2182841E-01
    418  12.47998      1.000937     0.1405453E-01
    419  12.50998      1.000610     0.2500267E-01
    420  12.53998      1.001009     0.1493454E-01
    421  12.56998      1.000466     0.2555442E-01
    422  12.59998      1.001522     0.0000000E+00
    423  12.62998      1.001079     0.1642470E-01
    424  12.65998      1.000375     0.2912957E-01
    425  12.68998      1.000924     0.2125005E-01
    426  12.71998      1.001245     0.1369366E-01
    427  12.74998      1.001126     0.1674812E-01
    428  12.77998      1.001428     0.9692106E-02
    429  12.80998      1.001095     0.1995094E-01
    430  12.83998      1.001041     0.2092500E-01
    431  12.86998      1.001280     0.1421896E-01
    432  12.89998      1.001470     0.1928247E-01
    433  12.92998      1.001297     0.1926392E-01
    434  12.95998      1.001152     0.2066128E-01
    435  12.98998      1.000923     0.2194823E-01
    436  13.01998      1.001023     0.2253512E-01
    437  13.04998      1.000815     0.2728483E-01
    438  13.07998      1.000860     0.2430885E-01
    439  13.10998      1.000932     0.2434071E-01
    440  13.13998      1.000829     0.2012051E-01
    441  13.16998      1.001232     0.2205389E-01
    442  13.19998      1.000681     0.3045991E-01
    443  13.22998      1.001235     0.1615023E-01
    444  13.25998      1.001314     0.0000000E+00
    445  13.28998      1.001132     0.1635196E-01
    446  13.31998      1.000858     0.1875915E-01
    447  13.34998      1.001323     0.1450532E-01
    448  13.37998      1.001393     0.1001869E-01
    449  13.40998      1.001156     0.1534788E-01
    450  13.43998      1.001379     0.2196723E-01
    451  13.46998      1.000485     0.2764077E-01
    452  13.49998      1.001131     0.1818151E-01
    453  13.52997      1.000661     0.2261696E-01
    454  13.55997      1.001087     0.1708636E-01
    455  13.58997      1.000720     0.1700944E-01
    456  13.61997      1.000514     0.2273525E-01
    457  13.64997      1.000446     0.2536949E-01
    458  13.67997      1.000605     0.2280331E-01
    459  13.70997      1.000097     0.3242937E-01
    460  13.73997      1.001156     0.1561737E-01
    461  13.76997      1.000693     0.1870187E-01
    462  13.79997      1.000889     0.1653681E-01
    463  13.82997      1.000842     0.1745221E-01
    464  13.85997      1.000724     0.1642832E-01
    465  13.88997      1.000521     0.2536479E-01
    466  13.91997      1.000529     0.2140934E-01
    467  13.94997      1.000121     0.3538945E-01
    468  13.97997      1.000083     0.3421977E-01
    469  14.00997      1.000041     0.3357267E-01
    470  14.03997      1.000175     0.3492662E-01
    471  14.06997     0.9999852     0.3161975E-01
    472  14.09997     0.9998782     0.2216173E-01
    473  14.12997     0.9997852     0.2614813E-01
    474  14.15997      1.000320     0.2552175E-01
    475  14.18997     0.9999094     0.2741124E-01
    476  14.21997      1.000039     0.2762567E-01
    477  14.24997     0.9997939     0.2407851E-01
    478  14.27997     0.9998055     0.2607966E-01
    479  14.30997     0.9995910     0.2775161E-01
    480  14.33997     0.9992378     0.2889536E-01
    481  14.36997     0.9995103     0.2814932E-01
    482  14.39997     0.9991296     0.2505982E-01
    483  14.42997     0.9991883     0.2505149E-01
    484  14.45997     0.9991370     0.2277846E-01
    485  14.48997     0.9991207     0.2527887E-01
    486  14.51997     0.9990919     0.2350733E-01
    487  14.54997     0.9989278     0.2326905E-01
    488  14.57997     0.9989982     0.2071890E-01
