H2O Chem Phys Special Issue vol 258, pp 121-137 (2000)
T=298K Case (b) g_OO(r)

 Bin no.        r             g(r)        std.
    174  5.160005     0.8701987     0.9308548E-01
    175  5.190005     0.8718941     0.9161196E-01
    176  5.220006     0.8721337     0.9105005E-01
    177  5.250006     0.8738991     0.9099079E-01
    178  5.280006     0.8763175     0.9114329E-01
    179  5.310006     0.8811505     0.9040359E-01
    180  5.340006     0.8851483     0.8977904E-01
    181  5.370007     0.8903077     0.9005646E-01
    182  5.400007     0.8966193     0.8913407E-01
    183  5.430007     0.9022835     0.8911032E-01
    184  5.460007     0.9077245     0.8846317E-01
    185  5.490007     0.9154298     0.8833978E-01
    186  5.520008     0.9179589     0.8916750E-01
    187  5.550008     0.9259727     0.8805188E-01
    188  5.580008     0.9310014     0.8976875E-01
    189  5.610008     0.9358354     0.8807287E-01
    190  5.640008     0.9410317     0.8918253E-01
    191  5.670009     0.9447057     0.8755769E-01
    192  5.700009     0.9523821     0.8836912E-01
    193  5.730009     0.9552156     0.8741461E-01
    194  5.760009     0.9601743     0.8788995E-01
    195  5.790009     0.9651870     0.8703331E-01
    196  5.820010     0.9704995     0.8676580E-01
    197  5.850010     0.9740441     0.8702475E-01
    198  5.880010     0.9795895     0.8582750E-01
    199  5.910010     0.9835420     0.8727472E-01
    200  5.940011     0.9859122     0.8521592E-01
    201  5.970011     0.9924067     0.8488198E-01
    202  6.000011     0.9959796     0.8528444E-01
    203  6.030011      1.000616     0.8545968E-01
    204  6.060011      1.004547     0.8481278E-01
    205  6.090012      1.006281     0.8388567E-01
    206  6.120012      1.012300     0.8347182E-01
    207  6.150012      1.015907     0.8341396E-01
    208  6.180012      1.019050     0.8371995E-01
    209  6.210012      1.025089     0.8370784E-01
    210  6.240013      1.027890     0.8214017E-01
    211  6.270013      1.030294     0.8351679E-01
    212  6.300013      1.035689     0.8260112E-01
    213  6.330013      1.041489     0.8306739E-01
    214  6.360013      1.045109     0.8215903E-01
    215  6.390014      1.048424     0.8168684E-01
    216  6.420014      1.052461     0.8209952E-01
    217  6.450014      1.056804     0.8077107E-01
    218  6.480014      1.060047     0.8207193E-01
    219  6.510015      1.062097     0.8041089E-01
    220  6.540015      1.065689     0.8034489E-01
    221  6.570015      1.068309     0.7995074E-01
    222  6.600015      1.069847     0.8025657E-01
    223  6.630015      1.073949     0.7870951E-01
    224  6.660016      1.074836     0.7952691E-01
    225  6.690016      1.075310     0.7977834E-01
    226  6.720016      1.074366     0.7911061E-01
    227  6.750016      1.074099     0.7873980E-01
    228  6.780016      1.075726     0.7857612E-01
    229  6.810017      1.071903     0.7817229E-01
